"stone","zone","tomb","form","material","ulx","uly","lrx","lry","condition"
"S242","Zona Vecchia",777,"HEAD","stone",962.592396,365.42388800000003,969.416054,369.65996600000005,"good"
"S243","Zona Vecchia",1732,"HEAD","stone",947.677831,365.42388800000003,958.30324,370.930789,"bad"
"S244","Zona Vecchia",919,"PED","stone",936.565017,365.42388800000003,944.266002,373.04882799999996,"good"
"S245","Zona Vecchia",852,"PLB","stone",920.870605,365.847496,928.084186,369.65996600000005,"good"
"S246","Zona Vecchia",,"PLB","stone",920.443398,395.36722699999996,927.570255,398.360902,"reasonable"
"S247","Zona Vecchia",,"LEDG","stone",933.82854,396.450477,942.698041,411.154584,"reasonable"
"S248","Zona Vecchia",,"LEDG","stone",949.662628,396.831815,958.552115,412.226415,"excellent"
"S249","Zona Vecchia",,"PLB","stone",967.593785,398.291203,972.614942,401.51730299999997,"excellent"
"S250","Zona Vecchia",,"LEDG","stone",977.083858,400.94535499999995,985.933718,414.958969,"excellent"
"S251","Zona Vecchia",,"LEDG","stone",996.029716,407.61749399999997,1004.428703,418.17011,"bad"
"S252","Zona Vecchia",1719,"HEAD","stone",1004.869782,398.4991,1014.912096,404.950921,"reasonable"
"S253","Zona Vecchia",,"LEDG","stone",1013.672346,407.99646700000005,1021.763255,418.163053,"very poor"
"S254","Zona Vecchia",1720,"HEAD","stone",1017.622052,400.18518000000006,1026.851269,402.82237,"bad"
"S255","Zona Vecchia",,"HEAD","stone",1028.415549,399.066813,1044.506229,407.73436100000004,"reasonable"
"S256","Zona Vecchia",1646,"CHEST","stone",1049.159805,400.61120200000005,1059.273652,421.90063399999997,"good"
"S257","Zona Vecchia",,"HEAD","stone",1065.12504,402.01970300000005,1074.745898,406.04643,"good"
"S258","Zona Vecchia",1722,"HEAD","stone",1079.227304,403.394453,1085.990269,405.97237900000005,"good"
"S259","Zona Vecchia",985,"CROSS","stone",1090.764835,403.674225,1098.673303,409.384684,"excellent"
"S260","Zona Vecchia",1723,"HEAD","stone",1104.989006,404.01516100000003,1116.289016,408.08211600000004,"good"
"S261","Zona Vecchia",,"LEDG","stone",1120.669055,403.367262,1146.617371,424.34755600000005,"good"
"S262","Zona Vecchia",1724,"LEDG","stone",1149.92078,407.86853199999996,1157.078253,424.25654299999997,"reasonable"
"S263","Zona Vecchia",1725,"CROSS","stone",1164.04284,408.898061,1172.912531,423.60215000000005,"reasonable"
"S264","Zona Vecchia",,"HEAD","stone",1177.756143,408.184214,1185.625364,412.51370399999996,"good"
"S265","Zona Vecchia",1726,"HEAD","stone",1190.086957,407.790265,1197.623598,412.80185300000005,"good"
"S266","Zona Vecchia",1727,"HEAD","stone",1200.010786,408.02771800000005,1208.545201,410.993011,"good"
"S267","Zona Vecchia",,"PLB","stone",1214.307712,408.72038599999996,1223.684659,416.536214,"good"
"S268","Zona Vecchia",1728,"HEAD","stone",1229.16403,409.76668800000004,1235.291235,414.744334,"bad"
"S269","Zona Vecchia",,"PLB","stone",1233.761034,424.04091800000003,1239.819402,426.60169199999996,"excellent"
"S270","Zona Vecchia",,"HEAD","stone",1241.883995,410.080367,1249.736099,426.140085,"good"
"S271","Zona Vecchia",,"PLB","stone",1255.666153,410.05720299999996,1261.724521,412.617977,"good"
"S272","Zona Vecchia",1729,"LEDG","stone",1265.096975,410.63970300000005,1275.10253,428.131294,"good"
"S273","Zona Vecchia",1730,"HEAD","stone",1280.150443,410.99551099999996,1291.661236,419.552908,"good"
"S274","Zona Vecchia",1371,"CROSS","stone",1291.241537,443.39254400000004,1299.199443,450.82941800000003,"good"
"S275","Zona Vecchia",1717,"HEAD","stone",1277.178709,443.05352600000003,1286.86863,449.49695199999996,"good"
"S276","Zona Vecchia",1716,"HEAD","stone",1261.361394,442.33531000000005,1270.672147,460.15536699999996,"reasonable"
"S277","Zona Vecchia",659,"HEAD","stone",1246.554515,441.305799,1255.894704,459.932683,"bad"
"S278","Zona Vecchia",1715,"CHEST","stone",1232.184712,441.004808,1243.830549,460.138381,"good"
"S279","Zona Vecchia",1714,"HEAD","stone",1218.401932,440.602578,1228.766824,446.02704500000004,"reasonable"
"S280","Zona Vecchia",417,"PLB","stone",1208.928804,440.02843700000005,1213.979587,444.290078,"good"
"S281","Zona Vecchia",417,"HEAD","stone",1195.785713,438.32773899999995,1203.243725,442.653181,"good"
"S282","Zona Vecchia",30,"HEAD","stone",1181.765495,438.04434100000003,1192.813785,459.622968,"good"
"S283","Zona Vecchia",,"HEAD","stone",1170.810276,439.45834,1178.033943,445.84252000000004,"good"
"S284","Zona Vecchia",1711,"HEAD","stone",1159.019004,436.40825300000006,1168.952645,439.06221500000004,"good"
"S285","Zona Vecchia",417,"PLG","stone",1151.061115,443.12690999999995,1157.129277,446.032922,"good"
"S286","Zona Vecchia",,"LEDG","stone",1140.548097,435.285536,1148.890701,456.187238,"bad"
"S287","Zona Vecchia",,"LEDG","stone",1128.569486,434.997386,1136.912091,455.899089,"bad"
"S288","Zona Vecchia",,"CHEST","stone",1112.010988,433.563356,1121.792256,455.53469600000005,"good"
"S289","Zona Vecchia",1709,"HEAD","stone",1097.756368,432.86212,1107.005192,436.189803,"bad"
"S290","Zona Vecchia",1449,"LEDG","stone",1078.218624,431.71387300000004,1086.590854,453.651479,"reasonable"
"S291","Zona Vecchia",,"HEAD","stone",1062.877544,432.36843899999997,1074.935029,435.41852600000004,"reasonable"
"S292","Zona Vecchia",,"LEDG","stone",1050.77777,430.36246000000006,1058.777983,451.601005,"good"
"S293","Zona Vecchia",998,"HEAD","stone",1028.986509,429.48322499999995,1036.944416,436.920081,"reasonable"
"S294","Zona Vecchia",1708,"LEDG","stone",1009.909658,428.343563,1021.814752,450.71121800000003,"good"
"S295","Zona Vecchia",625,"CROSS","stone",995.526915,428.332993,1001.018586,435.71039499999995,"excellent"
"S296","Zona Vecchia",1066,"PLB","stone",977.002304,427.193314,985.888923,430.16717400000005,"good"
"S297","Zona Vecchia",1707,"HEAD","stone",959.719189,426.08755900000006,969.350048,430.45936800000004,"good"
"S298","Zona Vecchia",1706,"HEAD","stone",947.06559,426.47294,956.294807,429.110131,"reasonable"
"S299","Zona Vecchia",906,"HEAD","stone",934.675525,428.24785799999995,944.609357,430.90201,"excellent"
"S300","Zona Vecchia",523,"PLB","stone",919.391521,423.98332500000004,930.204875,431.196697,"excellent"
"S301","Zona Vecchia",897,"CROSS","stone",930.607414,454.756172,938.917732,462.201423,"good"
"S302","Zona Vecchia",1604,"LEDG","stone",949.326447,461.77362000000005,957.050427,473.345194,"reasonable"
"S303","Zona Vecchia",,"HEAD","stone",960.319965,455.12281099999996,970.283213,458.81269499999996,"excellent"
"S304","Zona Vecchia",837,"CROSS","stone",973.971338,457.87015199999996,985.011235,462.27586800000006,"excellent"
"S305","Zona Vecchia",1694,"HEAD","stone",987.583083,458.54585899999995,999.798472,467.120218,"excellent"
"S306","Zona Vecchia",25,"CROSS","stone",1003.496408,458.581958,1012.491508,465.35367800000006,"reasonable"
